Date,Open,Stock_Price,Adj Close,Next_Stock_Price_1,Next_Stock_Price_2,source,author,title,description,url,urlToImage,publishedAt,content,date,vader_sentiment,sentiment_category
12/08/2024,199.0200043,197.4900055,197.4900055,207.8300018,201.3800049,Business Insider,Tom Carter,"Elon Musk initially said the Cybertruck would cost from $39,900. Now, you can't buy it for much less than $100,000.",Tesla removed the option to preorder the cheaper versions of its Cybertruck from its website last week.,https://www.businessinsider.com/elon-musk-tesla-cheapest-cybertruck-now-100k-2024-8,https://i.insider.com/66b9d74bb4912df3ae1aa484?width=1200&format=jpeg,12/08/2024 10:21,"The Tesla Cybertruck has had a rocky rollout since its launch last year, with multiple recalls.Chesnot/Getty
<ul><li>The cheapest Cybertruck available right now is $100,000.</li><li>Tesla quietly re… [+2143 chars]",12/08/2024,0.0,nuetral
12/08/2024,199.0200043,197.4900055,197.4900055,207.8300018,201.3800049,Gizmodo.com,Matthew Gault,Trump Returns to Twitter in a Weird Way,The former president's account is posting ahead of his interview with Elon Musk.,https://gizmodo.com/trump-returns-to-twitter-in-a-weird-way-2000485796,https://gizmodo.com/app/uploads/2024/08/Trump.jpg,12/08/2024 13:30,"Theres a new Trump tweet, the first since the former president posted his own mugshot in 2023. The tweet was posted at 2:54 AM and, weirdly, does not appear on Trumps timeline. It also lacks the fire… [+2855 chars]",12/08/2024,-0.296,negative
13/08/2024,198.4700012,207.8300018,207.8300018,201.3800049,214.1399994,The Verge,Umar Shakir,Rivian is bringing Apple Music with spatial audio to its CarPlay-less EVs,"Rivian is pushing a new software update that includes Apple Music, but it requires a Connect Plus subscription to work on the go, while CarPlay is still not an option.",https://www.theverge.com/2024/8/13/24218973/rivian-apple-music-connect-plus-subscribe-fee,https://cdn.vox-cdn.com/thumbor/VP6uyOjssejvOtwgeMQY6jtkeAQ=/0x0:2048x1365/1200x628/filters:focal(1024x683:1025x684)/cdn.vox-cdn.com/uploads/chorus_asset/file/24585492/236609_Rivian_R1S_review_DGolson_0013.jpg,13/08/2024 13:00,"Rivian is bringing Apple Music with spatial audio to its CarPlay-less EVs
Rivian is bringing Apple Music with spatial audio to its CarPlay-less EVs
 / Rivians latest update now has Apple Music, but… [+3143 chars]",13/08/2024,0.0,nuetral
13/08/2024,198.4700012,207.8300018,207.8300018,201.3800049,214.1399994,Hackaday,Heidi Ulrich,From Vehicle-to-Grid to DIY Home Powerwalls,"As battery-to-grid and vehicle-to-home technologies become increasingly mainstream, the potential for repurposing electric vehicle (EV) batteries has grown significantly. No longer just a niche pursuit, using retired EV batteries for …read more",https://hackaday.com/2024/08/13/from-vehicle-to-grid-to-diy-home-powerwalls/,https://hackaday.com/wp-content/uploads/2024/08/diy-batteries-800.jpg,13/08/2024 23:00,"As battery-to-grid and vehicle-to-home technologies become increasingly mainstream, the potential for repurposing electric vehicle (EV) batteries has grown significantly. No longer just a niche pursu… [+1240 chars]",13/08/2024,-0.296,negative
13/08/2024,198.4700012,207.8300018,207.8300018,201.3800049,214.1399994,Yahoo Entertainment,Demitri Fierro,Tesla relaunches long-range Model 3 as its second-cheapest option: 'This is a great deal',"""They've really made some nice refinements.""",https://autos.yahoo.com/tesla-relaunches-long-range-model-100000780.html,https://s.yimg.com/ny/api/res/1.2/8f9yx2zIY319rvKf69a6eQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/the_cool_down_737/11eb8455a81b968fa8faeb6a118a2099,13/08/2024 10:00,"Much like the summer's temperatures, electric vehicles are hot right now. EV sales rose by 20% in 2023 compared to the previous year, thanks to decreasing costs and increased choice among automotive … [+2984 chars]",13/08/2024,0.7579,positive
13/08/2024,198.4700012,207.8300018,207.8300018,201.3800049,214.1399994,Business Insider,"Katherine Tangalakis-Lippert,John L. Dorman",Elon gave Trump 1 million listeners. Trump gave his greatest hits.,Former President Donald Trump and billionaire businessman Elon Musk live-streamed a rambling conversation on X on Monday.,https://www.businessinsider.com/elon-musk-donald-trump-spaces-conversation-on-x-2024-8,https://i.insider.com/66ba9c6a955b01c3294df12e?width=1200&format=jpeg,13/08/2024 1:35,"Former President Donald Trump and billionaire businessman Elon Musk live-streamed a rambling conversation on Musk's social media platform, X, on Monday.KAMIL KRZACZYNSKI/AFP via Getty Images; Marc Pi… [+3632 chars]",13/08/2024,0.0,nuetral
14/08/2024,207.3899994,201.3800049,201.3800049,214.1399994,216.1199951,Ars Technica,Jonathan M. Gitlin,Federal Tesla suspension failure investigation ends with recommendation,There have been hundreds of Tesla Model S and Model X front suspension failures.,https://arstechnica.com/cars/2024/08/feds-suggest-tesla-expand-service-bulletin-after-whompy-wheels-probe/,https://cdn.arstechnica.net/wp-content/uploads/2024/08/GettyImages-628733186-760x380.jpg,14/08/2024 14:40,"Enlarge/ For years, Tesla used front suspension fore links that can fail in use.
8
The National Highway Traffic Safety Administration's Office of Defects Investigation has closed a four-year probe … [+2523 chars]",14/08/2024,-0.5267,negative
14/08/2024,207.3899994,201.3800049,201.3800049,214.1399994,216.1199951,Business Insider,Tom Carter,5 promises Elon Musk made about the Cybertruck that never happened,"Tesla's first pickup, which finally launched last November, has had a rocky rollout, with multiple recalls and challenges in scaling up production.",https://www.businessinsider.com/what-elon-musk-promised-with-tesla-cybertruck-but-never-materialized-2024-8,https://i.insider.com/66bc7afcb4912df3ae1b7a1c?width=1200&format=jpeg,14/08/2024 9:38,"Elon Musk shows off a prototype Cybertruck in 2019. Frederic J. Brown/Getty
<ul><li>The Cybertruck has changed a lot since Elon Musk unveiled it in 2019.</li><li>It's more expensive, with the cheape… [+3851 chars]",14/08/2024,0.0,nuetral
14/08/2024,207.3899994,201.3800049,201.3800049,214.1399994,216.1199951,Autoblog,Reuters,Preliminary evaluation of front suspension failure in Tesla vehicles closed by NHTSA,"Filed under:
 Government/Legal,Green,Tesla,Safety,Crossover,SUV,Electric,Sedan
 Continue reading Preliminary evaluation of front suspension failure in Tesla vehicles closed by NHTSA
Preliminary evaluation of front suspension failure in Tesla vehicles closed b…",https://www.autoblog.com/2024/08/14/preliminary-evaluation-of-front-suspension-failure-in-tesla-vehicles-closed-by-nhtsa/,https://edgecast-img.yahoo.net/mysterio/api/481765048C9C840BC953DC8D6D2567FFAEE58047B78D6B0DF381C4C1C5C05B6A/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/crop/3000x1688 0 275/resize/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2024/08/14081031/telsa_opens_new_flagship_store_in_san_francisco.jpeg,14/08/2024 12:11,"The National Highway Traffic Safety Administration said on Wednesday it has closed a preliminary evaluation into 74,918 Tesla vehicles over front suspension failures.
The auto safety agency's Office… [+1779 chars]",14/08/2024,0.3818,positive
14/08/2024,207.3899994,201.3800049,201.3800049,214.1399994,216.1199951,Autoblog,Jonathon Ramsey,"Tesla Cybertruck range-extender battery costs an 'estimated' $16,000","Filed under:
 Green,Tesla,Truck,Electric,Off-Road Vehicles
 Continue reading Tesla Cybertruck range-extender battery costs an 'estimated' $16,000
Tesla Cybertruck range-extender battery costs an 'estimated' $16,000 originally appeared on Autoblog on Wed, 14 A…",https://www.autoblog.com/2024/08/14/tesla-cybertruck-range-extender-battery-costs-an-estimated-16000/,https://edgecast-img.yahoo.net/mysterio/api/CBC86975730A53677C690BD42E88CC01D44FA48FB517EEC8C11A99A0B77DCAFE/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/legacy_thumbnail/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2024/08/14032620/tesla_cybertruck_bed_battery.jpg,14/08/2024 14:41,"The longer the Tesla Cybertruck is on the market, the more confounding the stainless steel pickup gets. Last week, Tesla closed order books for the least expensive Cybertruck grade, a rear-driver whi… [+2766 chars]",14/08/2024,0.0,nuetral
